Date,Open,High,Low,Close,Adj Close,Volume
2022-02-24,89.849998,92.180000,88.529999,91.809998,89.307167,18518000
2022-02-25,92.070000,94.699997,91.629997,94.550003,91.972473,9717400
2022-02-28,91.589996,92.220001,89.919998,90.739998,88.266342,17955100
2022-03-01,90.000000,90.000000,86.489998,87.629997,85.241119,18341800
2022-03-02,88.059998,89.279999,87.019997,88.379997,85.970673,18007500
2022-03-03,89.680000,90.250000,87.070000,87.779999,85.387032,12197100
2022-03-04,86.199997,86.900002,84.760002,86.360001,84.005745,11950700
2022-03-07,85.029999,86.080002,83.419998,83.449997,81.175072,12680900
2022-03-08,83.629997,85.750000,81.970001,83.309998,81.038879,11641200
2022-03-09,86.239998,88.989998,86.099998,87.400002,85.017395,12994600
2022-03-10,85.769997,87.800003,85.010002,85.860001,83.519371,11351600
2022-03-11,87.120003,87.760002,85.080002,85.180000,82.857910,8568100
2022-03-14,85.849998,86.709999,84.470001,84.720001,82.410446,8280700
2022-03-15,85.449997,86.699997,84.580002,86.330002,83.976555,8672400
2022-03-16,88.010002,92.349998,88.000000,91.760002,89.258537,17635900
2022-03-17,90.199997,94.190002,89.919998,93.860001,91.301285,15156800
2022-03-18,93.480003,94.900002,92.419998,94.820000,92.235107,16325400
2022-03-21,94.720001,94.910004,92.209999,92.610001,90.085358,8568700
2022-03-22,93.160004,94.599998,92.870003,94.220001,91.651474,7565100
2022-03-23,93.410004,94.000000,91.889999,92.379997,89.861626,7465400
2022-03-24,92.550003,93.099998,91.849998,92.129997,89.618446,6488300
2022-03-25,92.480003,93.970001,91.989998,92.379997,89.861626,6592800
2022-03-28,92.279999,92.300003,90.139999,91.269997,88.781891,8680800
2022-03-29,93.389999,93.389999,91.050003,91.839996,89.336349,7431600
2022-03-30,91.860001,91.940002,89.760002,90.269997,87.809151,7289800
2022-03-31,89.720001,90.190002,87.400002,87.400002,85.017395,8422700
2022-04-01,88.139999,88.529999,85.910004,86.989998,84.618568,8192300
2022-04-04,86.540001,87.570000,85.809998,87.279999,84.900658,8098900
2022-04-05,86.550003,86.830002,84.940002,85.279999,82.955185,11587400
